Participant,trigger_no,fzd_hands0_state,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
32,26.0,1,-0.24138899,-0.15442745,-0.25868979,548.36,-229.07,18.8430067580639,3.179624443303963,548.36,-229.07,45.95809348291785,7.755104017218365
32,26.0,1,-0.24057867,-0.15271123,-0.25623983,550.8299999999999,-227.25,19.031470973443273,3.2004145640079393,550.8299999999999,-227.25,46.417757704228144,7.805811121615367
32,26.0,1,-0.23992454,-0.15093447,-0.25495705,554.9300000000001,-226.5,19.16423488598795,3.2193334448186883,554.9300000000001,-226.5,46.741568886924604,7.851954271912781
32,26.0,1,-0.24030928,-0.14811279,-0.25400814,555.3599999999999,-231.66,19.31739353641741,3.242713999493308,555.3599999999999,-231.66,47.11512283532206,7.908979444764178
32,26.0,1,-0.23889381,-0.14784499,-0.25465378,567.55,-227.61,19.496262615734317,3.2642352183651315,567.55,-227.61,47.551384519776,7.961469697592555
32,26.0,1,-0.23991585,-0.14753307,-0.25484362,575.5,-229.84,19.604433745678257,3.2859979941320567,575.5,-229.84,47.81521390570927,8.014549107688087
32,26.0,1,-0.24104403,-0.1468371,-0.25449866,65.52999999999997,-69.09,19.82023313976895,3.305813992324479,,,48.341548627896465,8.062880327279405
32,26.0,1,-0.23876387,-0.14649332,-0.25615543,30.670000000000016,-56.60000000000002,19.97716761874952,3.3303130783366797,,,48.724311822130076,8.122633598063164
32,26.0,1,-0.23806651,-0.14598046,-0.25638664,47.32000000000005,-57.44,20.091243053917427,3.352848683629972,,,49.00254180850461,8.177597939373502
32,26.0,1,-0.24369526,-0.14526744,-0.25970045,116.01999999999998,-99.5,20.294553278880613,3.375657131624619,,,49.498415447189814,8.233227744032448
32,26.0,1,-0.30965084,-0.162596,-0.30259752,16.07000000000005,-47.599999999999994,20.420144660809687,3.3964167535212333,,,49.80473282771483,8.283860461838291
32,26.0,1,-0.24882413,-0.1443959,-0.27663538,437.20000000000005,-152.67,22.623634115982398,3.8956482629039684,437.20000000000005,-152.67,55.17904360888107,9.501486113222782
32,26.0,1,-0.2161718,-0.13506798,-0.25442305,451.87,-175.1,22.73445326073234,3.9252756535424904,451.87,-175.1,55.44933150292618,9.573747318990133
32,26.0,1,-0.21136084,-0.1339045,-0.25070429,468.78999999999996,-177.97,22.913540097080645,3.955264250073551,468.78999999999996,-177.97,55.88612429677969,9.646889505929394
32,26.0,1,-0.21534818,-0.13617405,-0.25147498,500.57000000000005,-171.48,23.00715831674825,3.9856309147852897,500.57000000000005,-171.48,56.11445913454898,9.720953801161325
32,26.0,1,-0.22616228,-0.14067148,-0.25531402,518.96,-168.96,23.191276584213828,4.016384491518053,518.96,-168.96,56.563523588897525,9.795961774812532
32,26.0,1,-0.25195819,-0.1442387,-0.26889822,688.5899999999999,-191.09,23.388914118325403,4.047542915514692,688.5899999999999,-191.09,57.045561534595656,9.871957170940334
32,27.0,1,-0.28379452,-0.15258944,-0.28388354,495.6600000000001,-190.91,16.64024812751997,2.944734985254442,495.6600000000001,-190.91,40.58556518302121,7.1822086290355855
32,27.0,1,-0.2571874,-0.15185593,-0.26183808,502.03,-190.07,16.80683085575948,2.962888664209115,502.03,-190.07,40.99186045719737,7.226485452006031
32,27.0,1,-0.25850359,-0.15052615,-0.25933218,508.1600000000001,-185.32999999999998,16.90882279638484,2.9812480044038887,508.1600000000001,-185.32999999999998,41.24061880038263,7.271263882741085
32,27.0,1,-0.26040858,-0.1474238,-0.25853002,518.45,-193.87,17.012025895509943,2.99981615589438,518.45,-193.87,41.492331159148755,7.31655160422639
32,27.0,1,-0.25950956,-0.14446892,-0.25657368,523.31,-192.89,17.05080588683257,3.0186066708153927,523.31,-192.89,41.58691555798464,7.36238167011874
